normalized_name,source,identifier,n_papers_total,years_active,annual_counts,annual_norm,mean_norm_freq,trend_slope,cas,cas_method
dimethyl sulfoxide,Sigma-Aldrich,Cat# D2650,149,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 13, ""2019"": 7, ""2020"": 14, ""2021"": 27, ""2022"": 25, ""2023"": 16, ""2024"": 19, ""2025"": 21, ""2026"": 5}","{""2017"": 0.012346, ""2018"": 0.034301, ""2019"": 0.011885, ""2020"": 0.02144, ""2021"": 0.036145, ""2022"": 0.039002, ""2023"": 0.027875, ""2024"": 0.043678, ""2025"": 0.038391, ""2026"": 0.061728}",0.032679,0.0039649,67-68-5,sigma_sid
sucrose,Sigma-Aldrich,Cat# S0389,147,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 9, ""2019"": 15, ""2020"": 15, ""2021"": 24, ""2022"": 13, ""2023"": 21, ""2024"": 13, ""2025"": 30, ""2026"": 6}","{""2017"": 0.006173, ""2018"": 0.023747, ""2019"": 0.025467, ""2020"": 0.022971, ""2021"": 0.032129, ""2022"": 0.020281, ""2023"": 0.036585, ""2024"": 0.029885, ""2025"": 0.054845, ""2026"": 0.074074}",0.032616,0.00533262,57-50-1,sigma_sid
fbs,GIBCO,Cat# F7524,154,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 1, ""2018"": 10, ""2019"": 16, ""2020"": 17, ""2021"": 25, ""2022"": 16, ""2023"": 18, ""2024"": 20, ""2025"": 29, ""2026"": 2}","{""2017"": 0.006173, ""2018"": 0.026385, ""2019"": 0.027165, ""2020"": 0.026034, ""2021"": 0.033467, ""2022"": 0.024961, ""2023"": 0.031359, ""2024"": 0.045977, ""2025"": 0.053016, ""2026"": 0.024691}",0.029923,0.00275525,,not_found
t4 dna ligase,New England Biolabs,Cat# M0202S,119,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 8, ""2019"": 16, ""2020"": 8, ""2021"": 16, ""2022"": 20, ""2023"": 12, ""2024"": 11, ""2025"": 17, ""2026"": 6}","{""2017"": 0.030864, ""2018"": 0.021108, ""2019"": 0.027165, ""2020"": 0.012251, ""2021"": 0.021419, ""2022"": 0.031201, ""2023"": 0.020906, ""2024"": 0.025287, ""2025"": 0.031079, ""2026"": 0.074074}",0.029535,0.00293965,9015-85-4,name
rnase a,Thermo Fisher Scientific,Cat# EN0531,127,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 6, ""2018"": 9, ""2019"": 18, ""2020"": 12, ""2021"": 23, ""2022"": 17, ""2023"": 13, ""2024"": 12, ""2025"": 13, ""2026"": 4}","{""2017"": 0.037037, ""2018"": 0.023747, ""2019"": 0.03056, ""2020"": 0.018377, ""2021"": 0.03079, ""2022"": 0.026521, ""2023"": 0.022648, ""2024"": 0.027586, ""2025"": 0.023766, ""2026"": 0.049383}",0.029041,0.00063589,,not_found
chir99021,Tocris,Cat# 4423,123,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 5, ""2018"": 8, ""2019"": 13, ""2020"": 18, ""2021"": 12, ""2022"": 19, ""2023"": 16, ""2024"": 13, ""2025"": 15, ""2026"": 4}","{""2017"": 0.030864, ""2018"": 0.021108, ""2019"": 0.022071, ""2020"": 0.027565, ""2021"": 0.016064, ""2022"": 0.029641, ""2023"": 0.027875, ""2024"": 0.029885, ""2025"": 0.027422, ""2026"": 0.049383}",0.028188,0.00160266,252917-06-9,name
bsa,Sigma-Aldrich,Cat# A7906,147,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 6, ""2019"": 10, ""2020"": 13, ""2021"": 20, ""2022"": 28, ""2023"": 18, ""2024"": 16, ""2025"": 33, ""2026"": 1}","{""2017"": 0.012346, ""2018"": 0.015831, ""2019"": 0.016978, ""2020"": 0.019908, ""2021"": 0.026774, ""2022"": 0.043682, ""2023"": 0.031359, ""2024"": 0.036782, ""2025"": 0.060329, ""2026"": 0.012346}",0.027633,0.00279857,132255-83-5,name
lipofectamine 3000,Invitrogen,Cat# L3000015,109,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 2, ""2018"": 5, ""2019"": 11, ""2020"": 7, ""2021"": 10, ""2022"": 13, ""2023"": 22, ""2024"": 13, ""2025"": 20, ""2026"": 6}","{""2017"": 0.012346, ""2018"": 0.013193, ""2019"": 0.018676, ""2020"": 0.01072, ""2021"": 0.013387, ""2022"": 0.020281, ""2023"": 0.038328, ""2024"": 0.029885, ""2025"": 0.036563, ""2026"": 0.074074}",0.026745,0.0052419,,not_found
methanol,Fisher Scientific,Cat# 34860,126,"2017,2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2017"": 3, ""2018"": 5, ""2019"": 8, ""2020"": 12, ""2021"": 22, ""2022"": 15, ""2023"": 25, ""2024"": 17, ""2025"": 16, ""2026"": 3}","{""2017"": 0.018519, ""2018"": 0.013193, ""2019"": 0.013582, ""2020"": 0.018377, ""2021"": 0.029451, ""2022"": 0.023401, ""2023"": 0.043554, ""2024"": 0.03908, ""2025"": 0.02925, ""2026"": 0.037037}",0.026544,0.00288511,67-56-1,name
accutase,Sigma-Aldrich,Cat#A6964,105,"2018,2019,2020,2021,2022,2023,2024,2025,2026","{""2018"": 2, ""2019"": 11, ""2020"": 16, ""2021"": 12, ""2022"": 10, ""2023"": 18, ""2024"": 9, ""2025"": 23, ""2026"": 4}","{""2018"": 0.005277, ""2019"": 0.018676, ""2020"": 0.024502, ""2021"": 0.016064, ""2022"": 0.015601, ""2023"": 0.031359, ""2024"": 0.02069, ""2025"": 0.042048, ""2026"": 0.049383}",0.024844,0.00423679,,not_found
